2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,Age,ATL,Guaranteed,Player,Signed Using
"$12,727,273","$11,709,091","$10,690,909","$9,672,727","","",26,CLE,"$44,800,000",Larry Nance,1st Round Pick
"$12,759,670","","","","","",34,DAL,"$12,759,670",Courtney Lee,Cap Space
"$12,900,000","$13,545,000","$14,190,000","","","",31,CHI,"$32,445,000",Thaddeus Young,""
"$12,960,000","$13,920,000","$14,880,000","","","",28,DEN,"$26,880,000",Will Barton,""
"$122,741","$122,741","$122,741","$122,741","","",24,HOU,"$490,964",Troy Williams,""
"$13,000,000","","","","","",26,CHO,"$13,000,000",Michael Kidd-Gilchrist,1st Round Pick
"$13,000,000","$13,000,000","$13,000,000","","","",23,MIA,"$26,000,000",Justise Winslow,1st Round Pick
"$13,258,781","","","","","",28,MEM,"$13,258,781",Solomon Hill,Cap Space
"$13,333,334","$13,333,333","$13,333,333","","","",30,SAC,"$40,000,000",Dewayne Dedmon,""
"$13,437,500","","","","","",27,CLE,"$13,437,500",Jordan Clarkson,Cap Space
"$13,486,300","$13,013,700","","","","",35,NOP,"$26,500,000",J.J. Redick,""
"$14,000,000","$14,000,000","","","","",33,SAS,"$28,000,000",Rudy Gay,""
"$14,041,096","","","","","",29,DEN,"$14,041,096",Mason Plumlee,Cap Space
"$14,057,730","$16,869,276","$18,218,818","$19,568,360","$20,917,902","",30,HOU,"$68,714,184",Eric Gordon,Cap Space
"$14,471,910","$15,415,730","","","","",27,CHO,"$29,887,640",Cody Zeller,1st Round Pick
"$14,634,146","$15,365,854","","","","",32,LAL,"$30,000,000",Danny Green,""
"$15,000,000","","","","","",30,NYK,"$15,000,000",Marcus Morris,""
"$15,000,000","$15,750,000","","","","",24,NYK,"$15,000,000",Bobby Portis,""
"$15,006,250","","","","","",33,CHO,"$15,006,250",Marvin Williams,Cap Space
"$15,349,400","$16,047,100","","","","",32,MIA,"$15,349,400",James Johnson,Cap Space
"$15,450,051","","","","","",33,WAS,"$15,450,051",Ian Mahinmi,Cap Space
"$15,500,000","$15,500,000","","","","",26,OKC,"$31,000,000",Dennis Schröder,1st Round Pick
"$15,625,000","$14,375,000","","","","",23,PHO,"$30,000,000",Kelly Oubre,""
"$15,625,000","$16,875,000","$18,125,000","$19,375,000","","",29,MIL,"$54,525,000",Eric Bledsoe,Bird Rights
"$15,643,750","","","","","",28,CLE,"$15,643,750",Brandon Knight,""
"$150,000","","","","","",25,TOR,"$150,000",Cameron Payne,""
"$16,000,000","$15,000,000","$14,000,000","","","",27,MEM,"$45,000,000",Jonas Valančiūnas,""
"$16,190,476","$17,000,000","$17,809,524","","","",29,PHO,"$51,000,000",Ricky Rubio,""
"$16,229,213","$17,287,640","","","","",29,MIN,"$33,516,853",Gorgui Dieng,1st Round Pick
"$16,456,522","$17,500,000","$18,543,478","$19,586,957","","",25,HOU,"$72,086,957",Clint Capela,""
"$17,000,000","","","","","",27,CHO,"$17,000,000",Bismack Biyombo,Cap Space
"$17,000,000","$17,000,000","","","","",27,ORL,"$17,000,000",Evan Fournier,Cap Space
"$17,000,000","$17,850,000","$18,700,000","$19,550,000","","",30,UTA,"$73,100,000",Bojan Bogdanović,""
"$17,185,185","","","","","",35,MEM,"$17,185,185",Andre Iguodala,Bird Rights
"$17,650,000","","","","","",28,NOP,"$17,650,000",Derrick Favors,""
"$17,839,286","$19,160,714","$20,482,143","","","",25,DEN,"$57,482,143",Gary Harris,1st Round Pick
"$18,000,000","$18,000,000","$18,000,000","$18,000,000","","",23,IND,"$72,000,000",Myles Turner,1st Round Pick
"$18,000,000","$18,900,000","$19,800,000","","","",25,NYK,"$40,900,000",Julius Randle,""
"$18,086,956","","","","","",29,DET,"$18,086,956",Reggie Jackson,Bird Rights
"$18,150,000","$18,975,000","","","","",27,DAL,"$18,150,000",Tim Hardaway,Cap Space
"$18,500,000","","","","","",27,ATL,"$18,500,000",Allen Crabbe,Cap Space
"$18,539,130","","","","","",28,CLE,"$18,539,130",Tristan Thompson,Bird Rights
"$18,539,130","$22,246,956","$24,026,712","$25,806,469","$27,586,225","",29,GSW,"$90,619,267",Draymond Green,Bird Rights
"$18,606,557","","","","","",31,ATL,"$18,606,557",Evan Turner,Cap Space
"$19,000,000","","","","","",31,MIN,"$19,000,000",Jeff Teague,Cap Space
"$19,217,900","","","","","",33,MIA,"$19,217,900",Goran Dragić,Bird Rights
"$19,245,370","","","","","",27,PHO,"$19,245,370",Tyler Johnson,Cap Space
"$19,269,662","","","","","",30,POR,"$19,269,662",Kent Bazemore,Cap Space
"$19,500,000","$19,500,000","$19,500,000","","","",24,CHI,"$58,500,000",Zach LaVine,""
"$19,863,636","$18,136,364","$16,409,091","","","",24,ORL,"$54,409,091",Aaron Gordon,""
"$19,894,737","$18,900,000","$17,905,263","","","",25,CHO,"$56,700,000",Terry Rozier,""
"$199,000","","","","","",24,WAS,"$199,000",Jemerrio Jones,""
"$2,000,000","","","","","",29,MEM,"$2,000,000",Avery Bradley,""
"$2,000,000","","","","","",24,MIN,"$2,000,000",Noah Vonleh,MLE
"$2,000,000","$2,160,000","$2,320,000","","","",23,IND,"$4,160,000",Edmond Sumner,""
"$2,007,058","","","","","",31,MIL,"$2,007,058",Spencer Hawes,""
"$2,028,594","","","","","",28,LAL,"$2,028,594",Troy Daniels,Minimum Salary
"$2,028,594","","","","","",25,OKC,"$2,028,594",Nerlens Noel,Minimum Salary
"$2,028,594","","","","","",28,ORL,"$2,028,594",Michael Carter-Williams,Minimum Salary
"$2,028,594","","","","","",29,PHI,"$2,028,594",Kyle O'Quinn,Minimum Salary
"$2,028,594","","","","","",27,PHI,"$810,000",Trey Burke,Minimum Salary
"$2,028,594","$2,283,034","","","","",28,OKC,"$2,028,594",Mike Muscala,""
"$2,031,677","","","","","",29,BRK,"",Iman Shumpert,Minimum Salary
"$2,033,160","","","","","",22,SAC,"$2,033,160",Caleb Swanigan,1st Round Pick
"$2,035,800","$2,137,440","$2,239,200","$4,037,278","","",23,CLE,"$4,173,240",Dylan Windler,1st Round Pick
"$2,063,520","$2,161,920","$3,893,618","","","",22,WAS,"$4,225,440",Moritz Wagner,1st Round Pick
"$2,100,000","","","","","",28,DEN,"$2,100,000",Torrey Craig,Cap Space
"$2,105,520","$2,210,640","$2,316,240","$4,171,548","","",19,POR,"$4,316,160",Nassir Little,1st Round Pick
"$2,133,541","","","","","",39,SAC,"$2,133,541",Matt Barnes,""
"$2,149,560","$2,252,040","$3,938,818","","","",20,POR,"$4,401,600",Anfernee Simons,1st Round Pick
"$2,159,029","","","","","",35,POR,"",Carmelo Anthony,Minimum Salary
"$2,174,318","$2,369,663","","","","",27,HOU,"$2,174,318",Austin Rivers,Minimum Salary
"$2,177,483","$2,286,357","","","","",26,GSW,"$2,177,483",Willie Cauley-Stein,MLE
"$2,193,480","$2,303,040","$2,412,840","$4,220,057","","",22,PHO,"$4,496,520",Ty Jerome,1st Round Pick
"$2,195,122","$2,304,878","","","","",24,CHI,"$4,500,000",Luke Kornet,Room Exception
"$2,239,200","$2,345,640","$3,980,551","","","",23,IND,"$4,584,840",Aaron Holiday,1st Round Pick
"$2,245,400","$2,245,400","$2,245,400","","","",34,IND,"$6,736,200",Monta Ellis,""
"$2,281,800","","","","","",22,CLE,"$2,281,800",Ante Žižić,1st Round Pick
"$2,281,800","$3,872,215","","","","",22,TOR,"$6,154,015",OG Anunoby,1st Round Pick
"$2,284,800","$2,399,160","$2,513,040","$4,264,629","","",19,OKC,"$4,683,960",Darius Bazley,1st Round Pick
"$2,305,057","","","","","",24,ATL,"$2,305,057",Damian Jones,1st Round Pick
"$2,320,044","","","","","",28,GSW,"$2,320,044",Alec Burks,Minimum Salary
"$2,320,044","","","","","",30,WAS,"$2,320,044",Isaiah Thomas,""
"$2,321,735","$14,285,714","$15,428,571","$16,571,429","$17,714,286","",23,SAS,"$66,321,735",Dejounte Murray,1st Round Pick
