TeamAB,时间,场,比赛,列1,果
BOS,2018/4/10,客,奇才113-101凯尔特,81,负
BOS,2018/4/11,主,篮网97-110凯尔特,82,胜
BOS,2018/4/3,客,雄鹿106-102凯尔特,77,负
BOS,2018/4/4,客,猛龙96-78凯尔特,78,负
BOS,2018/4/6,主,公牛104-111凯尔特,79,胜
BOS,2018/4/8,主,老鹰112-106凯尔特,80,负
CHA,2017/10/18,客,活塞102-90黄蜂,1,负
CHA,2017/10/20,主,老鹰91-109黄蜂,2,胜
CHA,2017/10/23,客,雄鹿103-94黄蜂,3,负
CHA,2017/10/25,主,掘金93-110黄蜂,4,胜
CHA,2017/10/27,主,火箭109-93黄蜂,5,负
CHA,2017/10/29,主,魔术113-120黄蜂,6,胜
CHA,2017/10/30,客,灰熊99-104黄蜂,7,胜
CHA,2017/11/1,主,雄鹿121-126黄蜂,8,胜
CHA,2017/11/10,客,凯尔特90-87黄蜂,12,负
CHA,2017/11/15,主,骑士115-107黄蜂,13,负
CHA,2017/11/17,客,公牛123-120黄蜂,14,负
CHA,2017/11/18,主,快船87-102黄蜂,15,胜
CHA,2017/11/20,主,森林狼102-118黄蜂,16,胜
CHA,2017/11/22,主,奇才124-129黄蜂,17,胜
CHA,2017/11/24,客,骑士100-99黄蜂,18,负
CHA,2017/11/25,主,马刺106-86黄蜂,19,负
CHA,2017/11/29,客,猛龙126-113黄蜂,20,负
CHA,2017/11/3,客,马刺108-101黄蜂,9,负
CHA,2017/11/5,客,森林狼112-94黄蜂,10,负
CHA,2017/11/7,客,尼克斯118-113黄蜂,11,负
CHA,2017/12/1,客,热火105-100黄蜂,21,负
CHA,2017/12/11,客,雷霆103-116黄蜂,26,胜
CHA,2017/12/13,客,火箭108-96黄蜂,27,负
CHA,2017/12/15,主,热火104-98黄蜂,28,负
CHA,2017/12/16,主,开拓者93-91黄蜂,29,负
CHA,2017/12/18,主,尼克斯91-109黄蜂,30,胜
CHA,2017/12/20,主,猛龙129-111黄蜂,31,负
CHA,2017/12/22,客,雄鹿109-104黄蜂,32,负
CHA,2017/12/23,主,雄鹿106-111黄蜂,33,胜
CHA,2017/12/27,主,凯尔特102-91黄蜂,34,负
CHA,2017/12/29,客,勇士100-111黄蜂,35,胜
CHA,2017/12/31,客,快船106-98黄蜂,36,负
CHA,2017/12/4,主,魔术94-104黄蜂,22,胜
CHA,2017/12/6,主,勇士101-87黄蜂,23,负
CHA,2017/12/8,主,公牛119-111黄蜂,24,负
CHA,2017/12/9,主,湖人110-99黄蜂,25,负
CHA,2018/1/10,主,独行侠115-111黄蜂,39,负
CHA,2018/1/12,主,爵士88-99黄蜂,40,胜
CHA,2018/1/13,主,雷霆101-91黄蜂,41,负
CHA,2018/1/15,客,活塞107-118黄蜂,42,胜
CHA,2018/1/17,主,奇才109-133黄蜂,43,胜
CHA,2018/1/2,客,国王111-131黄蜂,37,胜
CHA,2018/1/20,主,热火106-105黄蜂,44,负
CHA,2018/1/22,主,国王107-112黄蜂,45,胜
CHA,2018/1/24,主,鹈鹕101-96黄蜂,46,负
CHA,2018/1/26,主,老鹰110-121黄蜂,47,胜
CHA,2018/1/27,客,热火95-91黄蜂,48,负
CHA,2018/1/29,客,步行者105-96黄蜂,49,负
CHA,2018/1/31,客,老鹰110-123黄蜂,50,胜
CHA,2018/1/5,客,湖人94-108黄蜂,38,胜
CHA,2018/2/11,主,猛龙123-103黄蜂,56,负
CHA,2018/2/14,客,魔术102-104黄蜂,57,胜
CHA,2018/2/2,主,步行者126-133黄蜂,51,胜
CHA,2018/2/22,主,篮网96-111黄蜂,58,胜
CHA,2018/2/23,客,奇才105-122黄蜂,59,胜
CHA,2018/2/25,主,活塞98-114黄蜂,60,胜
CHA,2018/2/27,主,公牛103-118黄蜂,61,胜
CHA,2018/2/28,客,凯尔特134-106黄蜂,62,负
CHA,2018/2/4,客,太阳110-115黄蜂,52,胜
CHA,2018/2/5,客,掘金121-104黄蜂,53,负
CHA,2018/2/8,客,开拓者109-103黄蜂,54,负
CHA,2018/2/9,客,爵士106-94黄蜂,55,负
CHA,2018/3/10,主,太阳115-122黄蜂,67,胜
CHA,2018/3/13,客,鹈鹕119-115黄蜂,68,负
CHA,2018/3/15,客,老鹰117-129黄蜂,69,胜
CHA,2018/3/17,客,尼克斯124-101黄蜂,70,负
CHA,2018/3/19,客,76人108-94黄蜂,71,负
CHA,2018/3/2,客,76人110-99黄蜂,63,负
CHA,2018/3/21,客,篮网105-111黄蜂,72,胜
CHA,2018/3/22,主,灰熊79-140黄蜂,73,胜
CHA,2018/3/24,客,独行侠98-102黄蜂,74,胜
CHA,2018/3/26,主,尼克斯128-137黄蜂,75,胜
CHA,2018/3/28,主,骑士118-105黄蜂,76,负
CHA,2018/3/31,客,奇才107-93黄蜂,77,负
CHA,2018/3/4,客,猛龙103-98黄蜂,64,负
CHA,2018/3/6,主,76人128-114黄蜂,65,负
CHA,2018/3/8,主,篮网125-111黄蜂,66,负
CHA,2018/4/1,主,76人119-102黄蜂,78,负
CHA,2018/4/10,客,步行者93-119黄蜂,82,胜
CHA,2018/4/3,客,公牛120-114黄蜂,79,负
CHA,2018/4/6,客,魔术100-137黄蜂,80,胜
CHA,2018/4/8,主,步行者123-117黄蜂,81,负
CHI,2017/10/19,客,猛龙117-101公牛,1,负
CHI,2017/10/21,主,马刺87-77公牛,2,负
CHI,2017/10/24,客,骑士119-112公牛,3,负
CHI,2017/10/26,主,老鹰86-91公牛,4,胜
CHI,2017/10/28,主,雷霆101-69公牛,5,负
CHI,2017/11/1,客,热火97-91公牛,6,负
CHI,2017/11/10,主,步行者105-87公牛,10,负
CHI,2017/11/11,客,马刺133-94公牛,11,负
CHI,2017/11/15,客,雷霆92-79公牛,12,负
CHI,2017/11/17,主,黄蜂120-123公牛,13,胜
CHI,2017/11/19,客,太阳113-105公牛,14,负
CHI,2017/11/21,客,湖人103-94公牛,15,负
CHI,2017/11/22,客,爵士110-80公牛,16,负
CHI,2017/11/24,客,勇士143-94公牛,17,负
CHI,2017/11/26,主,热火100-93公牛,18,负
CHI,2017/11/28,主,太阳104-99公牛,19,负
CHI,2017/11/3,客,魔术83-105公牛,7,胜
CHI,2017/11/30,客,掘金111-110公牛,20,负
CHI,2017/11/4,主,鹈鹕96-90公牛,8,负
CHI,2017/11/7,客,猛龙119-114公牛,9,负
CHI,2017/12/1,主,国王107-106公牛,21,负
CHI,2017/12/11,主,凯尔特85-108公牛,26,胜
CHI,2017/12/13,主,爵士100-103公牛,27,胜
CHI,2017/12/15,客,雄鹿109-115公牛,28,胜
CHI,2017/12/18,主,76人115-117公牛,29,胜
CHI,2017/12/20,主,魔术94-112公牛,30,胜
CHI,2017/12/21,客,骑士115-112公牛,31,负
CHI,2017/12/23,客,凯尔特117-92公牛,32,负
CHI,2017/12/26,客,雄鹿106-115公牛,33,胜
CHI,2017/12/27,主,尼克斯87-92公牛,34,胜
CHI,2017/12/29,主,步行者107-119公牛,35,胜
CHI,2017/12/31,客,奇才114-110公牛,36,负
CHI,2017/12/4,主,骑士113-91公牛,22,负
CHI,2017/12/6,客,步行者98-96公牛,23,负
CHI,2017/12/8,客,黄蜂111-119公牛,24,胜
CHI,2017/12/9,主,尼克斯102-104公牛,25,胜
CHI,2018/1/1,主,开拓者124-120公牛,37,负
CHI,2018/1/10,客,尼克斯119-122公牛,42,胜
CHI,2018/1/13,主,活塞105-107公牛,43,胜
CHI,2018/1/15,主,热火111-119公牛,44,胜
CHI,2018/1/17,主,勇士119-112公牛,45,负
CHI,2018/1/20,客,老鹰97-113公牛,46,胜
CHI,2018/1/22,客,鹈鹕132-128公牛,47,负
CHI,2018/1/24,客,76人115-101公牛,48,负
CHI,2018/1/26,主,湖人108-103公牛,49,负
CHI,2018/1/28,主,雄鹿110-96公牛,50,负
CHI,2018/1/3,主,猛龙124-115公牛,38,负
CHI,2018/1/31,客,开拓者124-108公牛,51,负
CHI,2018/1/5,客,独行侠124-127公牛,39,胜
CHI,2018/1/6,客,步行者125-86公牛,40,负
CHI,2018/1/8,主,火箭116-107公牛,41,负
CHI,2018/2/10,主,奇才101-90公牛,55,负
CHI,2018/2/12,主,魔术101-105公牛,56,胜
CHI,2018/2/14,主,猛龙122-98公牛,57,负
CHI,2018/2/22,主,76人116-115公牛,58,负
CHI,2018/2/24,客,森林狼122-104公牛,59,负
CHI,2018/2/26,客,篮网104-87公牛,60,负
CHI,2018/2/27,客,黄蜂118-103公牛,61,负
CHI,2018/2/3,客,快船113-103公牛,52,负
CHI,2018/2/5,客,国王104-98公牛,53,负
CHI,2018/2/9,主,森林狼113-114公牛,54,胜
CHI,2018/3/11,客,老鹰122-129公牛,66,胜
CHI,2018/3/13,主,快船112-106公牛,67,负
CHI,2018/3/15,客,灰熊110-111公牛,68,胜
CHI,2018/3/17,主,骑士114-109公牛,69,负
CHI,2018/3/19,客,尼克斯110-92公牛,70,负
CHI,2018/3/2,主,独行侠100-108公牛,62,胜
CHI,2018/3/21,主,掘金135-102公牛,71,负
CHI,2018/3/23,主,雄鹿118-105公牛,72,负
CHI,2018/3/24,客,活塞117-95公牛,73,负
CHI,2018/3/27,客,火箭118-86公牛,74,负
CHI,2018/3/29,客,热火103-92公牛,75,负
CHI,2018/3/30,客,魔术82-90公牛,76,胜
CHI,2018/3/5,主,凯尔特105-89公牛,63,负
CHI,2018/3/7,主,灰熊110-119公牛,64,胜
CHI,2018/3/9,客,活塞99-83公牛,65,负
CHI,2018/4/1,主,奇才94-113公牛,77,胜
CHI,2018/4/11,主,活塞119-87公牛,82,负
CHI,2018/4/3,主,黄蜂114-120公牛,78,胜
CHI,2018/4/6,客,凯尔特111-104公牛,79,负
CHI,2018/4/7,主,篮网124-96公牛,80,负
CHI,2018/4/9,客,篮网114-105公牛,81,负
CLE,2017/10/17,主,凯尔特99-102骑士,1,胜
CLE,2017/10/20,客,雄鹿97-116骑士,2,胜
CLE,2017/10/21,主,魔术114-93骑士,3,负
CLE,2017/10/24,主,公牛112-119骑士,4,胜
CLE,2017/10/25,客,篮网112-107骑士,5,负
CLE,2017/10/28,客,鹈鹕123-101骑士,6,负
CLE,2017/10/29,主,尼克斯114-95骑士,7,负
CLE,2017/11/1,主,步行者124-107骑士,8,负
CLE,2017/11/11,客,独行侠104-111骑士,13,胜
CLE,2017/11/13,客,尼克斯101-104骑士,14,胜
CLE,2017/11/15,客,黄蜂107-115骑士,15,胜
CLE,2017/11/17,主,快船113-118骑士,16,胜
CLE,2017/11/20,客,活塞88-116骑士,17,胜
CLE,2017/11/22,主,篮网109-119骑士,18,胜
CLE,2017/11/24,主,黄蜂99-100骑士,19,胜
CLE,2017/11/27,客,76人91-113骑士,20,胜
